len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;4.0;60.6459735;59.71565783333333;330.2;84.79612964368825;-0.6806145842379444;106.0;;87.6;0.0;;0.0133056640625;1.009521484375;0.0872802734375;Груженный стоит;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;0.0;;8.3;7.3;6.9;8.2;0.5631122870597032;3.0365926879652734;-1.7914738783000717;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;4.5;0.5631122870597032;up;0;0.01;0.0;1
1.0;3.0;60.64596366666667;59.715653333333336;329.9;85.09292498035919;-2.443940487392548;106.0;;87.6;1.121866154448248;;0.0438232421875;1.030029296875;0.071044921875;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;8.1;7.8;6.9;6.8;3.294572140427495;4.736906838193726;-1.9087780025509495;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;1;0;up;0.0;0.0;3.294572140427495;up;0;0.01;0.0;1
2.0;4.0;60.64595483333333;59.715647;330.0;83.51684875340347;-6.174547232692816;105.0;;87.6;1.0423064239174546;;0.110107421875;1.01708984375;0.0340576171875;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;7.2;7.8;6.7;6.9;4.790953786806413;5.459136017695577;-1.8799331194576197;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.790953786806413;up;0;0.01;0.0;1
3.0;5.0;60.64594383333333;59.71563983333333;330.2;82.35756094047316;-5.0633123059025;105.0;;87.6;1.2854708740961271;;0.0924072265625;1.029296875;0.1031494140625;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;7.2;7.4;6.8;6.9;5.427700028376488;5.520231530479081;-1.8083039249321864;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;4.5;5.427700028376488;up;0;0.01;0.0;1
5.0;6.0;60.64593033333333;59.71563316666666;330.3;81.45709398399558;-3.8891991736937417;104.0;;88.0;1.5462456780280078;;0.072509765625;1.0546875;0.1414794921875;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;6.9;7.4;7.8;6.7;5.511093490860895;5.1762883860542335;-1.9045556327553501;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.511093490860895;up;0;0.01;0.0;1
7.0;6.0;60.645916666666665;59.7156235;330.4;80.78470409051383;-7.351096675792173;104.0;;88.0;1.6102497269269376;;0.13134765625;1.017578125;0.087646484375;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;6.7;6.7;7.8;5.9;5.2841531174656415;4.628055760577448;-1.9164073270132427;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.2841531174656415;up;0;0.01;0.0;1
9.0;7.0;60.645897833333336;59.715609666666666;330.0;81.74766511028693;-6.819403755218221;103.0;;88.0;2.228315846099659;;0.1187744140625;1.0032958984375;-0.0284423828125;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;7.4;8.1;7.7;7.4;4.93253066281926;4.02644745799622;-1.893740268257714;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.93253066281926;up;0;0.01;0.0;1
11.0;8.0;60.6458805;59.71559783333333;330.1;80.84387608013483;-2.716407178019871;104.0;;88.0;2.034756714354975;;0.0501708984375;1.00048828125;0.1427001953125;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;8.0;8.1;6.1;7.4;4.590407186912489;3.4780523711938054;-1.8529256134641656;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.590407186912489;up;0;0.01;0.0;1
13.0;8.0;60.645861333333336;59.7155865;330.4;82.69311275626053;-1.6423593037983013;102.0;;88.0;2.221486518027;;0.02880859375;1.0091552734375;0.0889892578125;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;8.0;6.4;8.2;8.1;4.346389549037974;3.050644943133874;-1.8800838371408806;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.346389549037974;up;0;0.01;0.0;1
16.0;8.0;60.645838833333336;59.715571833333335;330.5;80.28297158754592;-4.6158422946315;111.0;;88.0;2.6294987967755197;;0.0838623046875;0.9913330078125;0.1474609375;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;752.0;24.0;772.0;43.0;764.0;40.0;716.0;34.0;760.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route2', '/home/pi/adviser/route2', '/home/pi/adviser/route1'];659;;;6.8;8.0;8.2;8.3;4.249406901729958;2.77869562800521;-1.7460005001249654;7.0;7.0;7.1;7.1;-;7.0;7.1;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.249406901729958;up;0;0.01;0.0;1
